income,debt,age,employment_years,late_payments,credit_history_years,credit_utilization,active_loans,payment_ratio,creditworthy,debt_to_income,late_payment_rate
44025.25,11630.96,59,10,3,12,0.084,2,1.0,1,0.26418839188874566,0.25
100495.46,14659.79,41,14,1,2,0.345,2,1.0,1,0.14587514699669019,0.5
30480.77,38720.33,32,1,2,2,0.369,4,0.935,1,1.2703199427048595,1.0
55906.97,20488.76,69,16,0,18,0.321,2,0.96,1,0.36647952840227255,0.0
69939.19,89751.76,46,8,2,3,0.636,1,0.922,1,1.283282806106276,0.6666666666666666
84621.41,20109.7,55,8,0,1,0.214,3,1.0,1,0.23764316855509734,0.0
89517.96,14906.97,49,17,0,6,0.218,1,1.0,1,0.1665249074040561,0.0
92887.91,18048.42,38,29,1,22,0.674,1,1.0,1,0.19430321987005625,0.045454545454545456
55559.86,21265.62,68,6,2,16,0.249,2,0.959,0,0.382751504413438,0.125
52790.38,23885.86,39,28,1,18,0.389,1,1.0,1,0.4524661500826477,0.05555555555555555
95629.03,69424.1,69,16,0,16,0.156,2,0.935,1,0.7259730648737105,0.0
59638.44,10390.72,42,30,1,14,0.505,2,1.0,1,0.17422856801754036,0.07142857142857142
36610.26,31461.09,22,11,3,7,0.489,1,0.908,0,0.8593517227137966,0.42857142857142855
39033.02,20602.44,22,30,1,11,0.233,4,0.849,1,0.5278208040269495,0.09090909090909091
42975.65,6482.84,68,20,1,14,0.292,2,1.0,0,0.15084914364296992,0.07142857142857142
81297.04,29705.31,46,20,1,24,0.282,3,0.986,1,0.365392270124472,0.041666666666666664
69302.35,41030.97,39,17,2,22,0.288,2,0.976,1,0.5920574121945359,0.09090909090909091
88686.32,10310.96,60,14,1,18,0.523,1,0.915,1,0.11626325232572507,0.05555555555555555
53630.8,17895.78,51,16,1,20,0.177,0,0.881,1,0.333684748316266,0.05
69806.71,5864.35,53,26,0,20,0.423,2,0.887,1,0.08400839976558128,0.0
86133.89,7941.86,54,24,2,17,0.048,0,0.95,0,0.09220366106767035,0.11764705882352941
56553.17,35573.14,30,0,1,20,0.535,1,0.929,1,0.6290211494775625,0.05
79832.93,13292.51,25,21,0,2,0.403,2,0.804,0,0.1665040979956517,0.0
48256.02,8755.22,56,25,2,1,0.117,1,1.0,1,0.18143270000302553,2.0
55202.76,20895.23,22,23,1,11,0.349,2,0.911,1,0.37851784946984535,0.09090909090909091
54740.58,12817.4,56,15,2,2,0.297,1,1.0,1,0.23414804885151014,1.0
37949.62,13254.51,27,10,2,9,0.413,1,0.891,1,0.34926594785402326,0.2222222222222222
80925.17,29105.69,33,20,0,5,0.042,2,0.951,1,0.35966177148592954,0.0
52623.15,8459.12,55,20,0,23,0.626,0,1.0,1,0.1607490239561866,0.0
65366.48,9993.0,51,11,1,16,0.274,2,0.998,1,0.1528765201981199,0.0625
80698.76,19896.1,59,12,2,2,0.114,0,0.921,0,0.2465477784293092,1.0
79465.76,33800.92,50,11,2,15,0.295,4,0.976,1,0.42535200066041023,0.13333333333333333
87690.24,40252.65,23,1,2,18,0.296,1,0.987,1,0.4590322708661762,0.1111111111111111
62182.2,11682.38,62,0,2,8,0.233,1,0.93,1,0.18787337855527786,0.25
53726.32,33104.42,31,2,3,22,0.21,4,0.862,1,0.6161676437172693,0.13636363636363635
62709.57,10812.24,27,13,0,24,0.092,2,0.896,1,0.1724177027525464,0.0
30419.59,58992.35,64,15,1,24,0.442,0,0.913,1,1.939288136362127,0.041666666666666664
33892.26,8614.27,30,12,2,3,0.106,2,0.942,1,0.25416629047458034,0.6666666666666666
35843.87,42686.51,47,29,4,11,0.322,1,1.0,1,1.1909012614988281,0.36363636363636365
41497.21,11747.68,44,6,0,19,0.601,1,1.0,1,0.28309565872018866,0.0
77811.22,66618.48,58,12,3,11,0.264,2,0.883,0,0.8561551920147248,0.2727272727272727
43246.73,26436.09,23,7,1,12,0.459,2,1.0,1,0.6112852925527548,0.08333333333333333
54828.72,9299.5,26,9,1,8,0.27,3,0.934,1,0.16961001460548414,0.125
116633.9,12818.85,41,18,1,11,0.497,1,0.987,0,0.10990672523168651,0.09090909090909091
55371.69,29908.4,44,9,2,17,0.471,3,0.874,1,0.540138832677854,0.11764705882352941
90583.25,35680.01,59,9,3,1,0.522,0,0.908,0,0.3938919171038796,3.0
42702.58,17191.35,50,20,0,20,0.626,2,1.0,0,0.40258340362572936,0.0
59260.35,18530.16,28,25,2,18,0.189,1,0.878,1,0.3126906945369037,0.1111111111111111
42388.51,29467.89,68,6,0,4,0.366,1,0.944,1,0.6951857944523173,0.0
55802.71,19610.02,43,3,2,19,0.52,2,0.973,0,0.3514169831536856,0.10526315789473684
94871.75,7764.74,68,7,3,13,0.112,3,0.868,1,0.0818445954670384,0.23076923076923078
29877.12,10611.5,69,17,2,8,0.311,0,0.816,1,0.3551714489214489,0.25
79033.98,20972.24,23,29,2,11,0.264,3,1.0,1,0.26535725519580317,0.18181818181818182
72339.35,39663.66,45,4,0,13,0.789,2,1.0,1,0.5482999225179657,0.0
49750.46,51457.71,41,1,2,6,0.874,0,0.972,0,1.0343162656184486,0.3333333333333333
33908.35,29876.31,45,16,1,15,0.179,1,0.986,0,0.8810900559891591,0.06666666666666667
67144.4,21695.63,36,30,3,16,0.541,1,0.878,1,0.323118979393665,0.1875
51219.26,29285.74,48,17,3,9,0.286,1,1.0,1,0.5717720248203508,0.3333333333333333
72174.84,11669.56,45,28,0,12,0.713,4,0.914,1,0.16168459812311325,0.0
65642.33,16293.59,30,19,1,15,0.459,0,1.0,1,0.2482177277985105,0.06666666666666667
133645.1,10534.83,35,0,2,13,0.431,2,0.983,0,0.07882690798241013,0.15384615384615385
58362.71,7993.98,28,13,2,11,0.339,3,0.984,0,0.13697067870905927,0.18181818181818182
41009.9,22357.88,62,23,1,23,0.256,4,0.982,1,0.5451825047122768,0.043478260869565216
70461.14,20306.79,54,15,1,22,0.398,1,0.979,1,0.288198431078464,0.045454545454545456
71764.2,28144.33,39,6,2,10,0.61,3,0.96,0,0.3921778546963528,0.2
119823.72,25670.55,40,5,2,18,0.357,0,1.0,1,0.21423596262910213,0.1111111111111111
94650.14,21075.06,24,20,3,20,0.544,1,0.889,1,0.22266274513698556,0.15
76323.37,25846.43,35,14,1,3,0.675,0,0.923,1,0.33864372078958255,0.3333333333333333
125571.28,17507.47,66,17,1,15,0.732,0,1.0,1,0.1394225654146394,0.06666666666666667
38070.66,23541.18,22,11,0,20,0.411,2,0.952,0,0.6183549221368896,0.0
48739.95,11227.63,28,10,2,2,0.188,3,0.917,0,0.23035784813074284,1.0
42838.11,22889.55,62,20,2,9,0.789,3,1.0,1,0.5343267945294505,0.2222222222222222
54542.1,27794.64,46,0,0,20,0.437,1,0.999,1,0.5095997403840337,0.0
34983.57,11647.35,22,13,0,23,0.301,4,0.849,1,0.33293771904925656,0.0
86505.26,18616.77,44,11,0,24,0.235,0,0.991,0,0.2152096878270755,0.0
58814.42,12001.48,57,24,3,15,0.078,1,0.95,0,0.2040567602298892,0.2
33532.81,12783.34,37,22,0,2,0.51,0,0.99,1,0.38121887190485976,0.0
41156.29,8663.92,39,13,0,1,0.269,1,0.941,1,0.21051265796795582,0.0
74848.68,40981.69,51,8,1,20,0.317,0,0.973,1,0.5475272242610024,0.05
94778.65,35983.74,50,7,0,18,0.344,1,0.812,1,0.3796608202374691,0.0
159639.18,25526.16,65,6,2,5,0.72,1,0.877,1,0.15989909244084066,0.4
241199.74,64864.41,33,8,1,4,0.556,0,0.992,1,0.268924046103864,0.25
78325.37,15916.59,34,23,0,4,0.508,2,1.0,0,0.2032111689992655,0.0
41641.41,129155.53,28,1,0,22,0.604,0,0.966,1,3.101612793610975,0.0
24902.46,15525.4,53,0,2,19,0.387,2,0.892,1,0.6234484464587032,0.10526315789473684
73321.76,21247.67,47,16,1,23,0.227,4,0.949,1,0.28978668815369407,0.043478260869565216
45085.64,13898.99,38,6,2,3,0.231,0,0.877,1,0.30827975381961975,0.6666666666666666
53918.65,22928.56,55,25,3,17,0.608,3,1.0,1,0.42524358454820366,0.17647058823529413
49350.29,30985.57,39,23,3,23,0.439,0,0.943,1,0.627870069253899,0.13043478260869565
61009.61,16715.33,30,23,3,13,0.29,2,1.0,0,0.2739786404141905,0.23076923076923078
105012.39,57124.87,47,14,0,19,0.737,2,0.929,0,0.5439821910538366,0.0
69759.88,21027.24,42,13,0,15,0.586,1,1.0,1,0.3014231102461759,0.0
60521.68,21459.93,40,13,0,1,0.493,0,0.826,1,0.3545825231553387,0.0
40786.17,9969.43,42,6,0,11,0.473,0,0.942,0,0.24443162964308737,0.0
30593.27,23627.14,65,17,1,7,0.325,1,0.978,1,0.7722986133878463,0.14285714285714285
52224.34,16498.25,31,26,2,3,0.474,3,0.921,1,0.31591112496586843,0.6666666666666666
63445.74,12121.93,34,7,0,15,0.35,0,0.965,1,0.1910597937702358,0.0
144020.51,10866.27,48,1,2,23,0.313,2,0.964,1,0.07544946202454081,0.08695652173913043
68924.44,102208.82,23,17,0,2,0.094,0,1.0,1,1.4829111415341205,0.0
101151.57,15166.84,28,12,1,8,0.695,3,0.984,1,0.14994171617899751,0.125
51920.01,6981.97,48,24,1,17,0.561,1,0.968,1,0.13447551339069463,0.058823529411764705
38136.15,11433.27,45,26,0,8,0.433,2,1.0,1,0.29980136956667097,0.0
42101.56,17406.66,52,29,1,3,0.527,1,0.845,1,0.4134445374470685,0.3333333333333333
46900.84,25679.82,26,12,2,5,0.758,2,0.887,1,0.5475343298755417,0.4
169389.14,25815.87,62,27,1,1,0.358,1,0.843,1,0.1524056973192024,1.0
44914.62,27943.13,44,3,2,24,0.164,1,0.978,1,0.6221388492210331,0.08333333333333333
94794.12,11836.79,28,11,1,12,0.574,1,0.969,1,0.12486839901040277,0.08333333333333333
43296.42,22458.25,36,8,1,23,0.397,1,1.0,1,0.5187091681021202,0.043478260869565216
98849.17,10185.17,32,28,0,17,0.368,0,0.965,1,0.10303748630362805,0.0
77293.91,12032.41,43,18,1,9,0.098,1,0.896,1,0.15567086721321252,0.1111111111111111
60576.09,9913.14,43,11,3,23,0.549,0,0.949,0,0.16364773626029677,0.13043478260869565
63818.56,8313.82,42,4,2,7,0.311,0,0.809,1,0.13027276077680222,0.2857142857142857
48411.28,35949.24,43,24,0,5,0.634,1,0.911,1,0.7425798285027787,0.0
79449.35,28161.88,65,20,1,20,0.359,0,0.776,1,0.3544633153071737,0.05
52965.71,33960.71,67,26,3,14,0.413,2,0.963,1,0.6411829464761257,0.21428571428571427
37444.68,18465.89,45,13,1,11,0.186,1,0.92,1,0.4931512300278704,0.09090909090909091
36573.19,29823.5,68,4,2,15,0.243,4,0.931,1,0.8154470528821794,0.13333333333333333
70249.4,5728.96,61,10,0,24,0.59,3,0.875,1,0.08155172855568874,0.0
132287.6,31543.85,61,19,1,7,0.377,2,0.893,1,0.2384490307481578,0.14285714285714285
69852.33,20196.3,32,7,1,22,0.505,1,0.988,1,0.28912850866964634,0.045454545454545456
61620.83,27058.28,42,2,0,22,0.098,1,0.839,1,0.4391093076805359,0.0
73921.89,23043.57,38,25,0,19,0.365,0,0.975,1,0.3117286368083933,0.0
116989.95,9476.22,25,16,1,4,0.33,1,0.883,1,0.08100029105064152,0.25
71744.37,6798.12,24,12,2,3,0.205,2,0.822,0,0.09475475218473589,0.6666666666666666
54026.25,11330.93,51,17,0,3,0.279,3,1.0,1,0.20973008491242684,0.0
106934.57,25986.26,41,22,0,17,0.207,2,1.0,1,0.24301084298557515,0.0
78832.68,28188.98,61,0,2,10,0.362,0,0.902,1,0.35757987677191744,0.2
129732.87,7398.0,53,13,0,24,0.349,2,0.902,1,0.057024869641749236,0.0
70586.77,9512.98,25,7,1,1,0.347,0,0.922,1,0.13477001426754615,1.0
37463.84,11248.88,62,2,1,9,0.431,0,0.883,1,0.3002596637184015,0.1111111111111111
35118.06,14269.49,45,1,1,7,0.239,1,0.896,1,0.40632910815688567,0.14285714285714285
136633.87,7426.38,48,13,1,22,0.483,3,0.972,1,0.0543524091061755,0.045454545454545456
141180.17,7142.32,68,16,1,3,0.312,4,1.0,1,0.05059010766172047,0.3333333333333333
59955.56,10550.56,52,15,1,10,0.253,0,0.915,1,0.17597300400496635,0.1
54704.88,19038.0,22,24,0,21,0.418,1,1.0,1,0.34801282810601175,0.0
125466.3,8356.05,29,14,1,24,0.428,1,0.965,0,0.06659995552590615,0.041666666666666664
39496.68,16694.84,41,18,0,22,0.596,3,0.823,0,0.42268970455238264,0.0
43456.49,35817.3,22,25,3,16,0.371,1,0.938,1,0.8242106069772318,0.1875
86824.11,7723.09,29,20,2,4,0.311,1,0.929,1,0.08895098377628058,0.5
54424.53,15739.63,59,28,1,3,0.141,1,1.0,0,0.28920102755136334,0.3333333333333333
64850.36,35039.07,27,6,2,10,0.317,4,1.0,0,0.5403064840349383,0.2
60390.87,13715.1,29,24,1,12,0.684,1,0.966,0,0.2271055210829054,0.08333333333333333
75663.5,12397.4,45,21,1,13,0.417,2,1.0,1,0.16384914787182722,0.07692307692307693
122456.28,38345.76,25,18,1,2,0.434,1,0.93,1,0.31313837069033945,0.5
67704.35,14751.44,33,0,0,17,0.491,2,1.0,1,0.2178802396005574,0.0
86848.02,36903.02,66,16,1,10,0.368,1,0.947,1,0.42491492609733644,0.1
25837.06,23788.43,51,26,0,3,0.398,2,1.0,1,0.920709631823435,0.0
63590.49,14404.24,68,19,2,22,0.113,1,1.0,1,0.22651563150401893,0.09090909090909091
44475.29,24585.84,38,0,3,9,0.25,0,0.99,1,0.5527977445453419,0.3333333333333333
37559.31,22168.31,51,8,1,6,0.414,0,0.888,1,0.5902214391052446,0.16666666666666666
43781.82,34950.95,32,17,0,12,0.697,0,0.911,1,0.7982982434261526,0.0
55926.13,12603.15,39,25,1,23,0.323,2,0.993,0,0.22535351543187415,0.043478260869565216
98154.56,18488.63,29,13,0,20,0.268,2,1.0,1,0.18836241535798237,0.0
35784.35,17294.47,61,26,2,3,0.353,1,0.951,0,0.4832970278906841,0.6666666666666666
65902.17,28447.72,30,24,4,17,0.483,2,0.918,1,0.4316659072076079,0.23529411764705882
52274.62,9244.28,31,8,0,16,0.502,0,0.953,1,0.17684069248136094,0.0
56088.7,34862.33,43,6,2,22,0.349,0,0.921,0,0.6215571050853381,0.09090909090909091
102066.88,24373.23,42,27,2,24,0.344,1,0.921,1,0.2387966596020178,0.08333333333333333
82809.2,7647.44,36,18,1,18,0.132,3,1.0,1,0.09235012534839124,0.05555555555555555
118654.56,39477.96,38,26,0,16,0.379,1,0.907,1,0.3327133824439617,0.0
60634.24,76902.03,35,28,2,9,0.412,2,0.976,0,1.268293789119811,0.2222222222222222
47522.97,34520.86,65,13,0,22,0.276,0,0.951,0,0.7264036738444588,0.0
58771.13,45509.08,49,1,1,23,0.332,3,0.854,1,0.7743441380147021,0.043478260869565216
72494.51,19027.08,66,28,1,24,0.726,3,0.852,1,0.26246235749438135,0.041666666666666664
70375.51,6112.85,69,18,2,23,0.214,5,0.934,1,0.08686047177491148,0.08695652173913043
39901.45,5428.67,52,3,1,16,0.521,2,0.803,1,0.1360519479868526,0.0625
67701.46,21246.14,61,16,3,23,0.417,0,1.0,1,0.31382100179228034,0.13043478260869565
72030.53,12250.73,26,0,3,19,0.686,0,0.915,1,0.17007691044339115,0.15789473684210525
201794.65,9933.34,67,8,0,6,0.455,0,0.909,1,0.04922499184195419,0.0
151255.03,17280.63,44,10,2,1,0.138,6,1.0,1,0.11424829970943777,2.0
44275.34,26856.35,55,14,1,24,0.662,1,0.93,0,0.6065758049514696,0.041666666666666664
57114.88,7001.18,33,17,1,11,0.469,2,0.986,1,0.12258066549382579,0.09090909090909091
33644.12,13444.92,25,26,5,21,0.667,1,0.9,1,0.3996216872368782,0.23809523809523808
49827.6,48028.17,64,10,3,7,0.276,2,0.943,1,0.9638868819690292,0.42857142857142855
74919.15,8948.04,43,22,0,9,0.25,2,1.0,1,0.11943595195620882,0.0
111834.65,31680.98,27,29,2,20,0.832,3,0.88,1,0.28328411632709544,0.1
46819.49,13135.21,53,23,1,13,0.457,5,0.977,1,0.28055004443662246,0.07692307692307693
48425.25,25665.24,23,7,0,17,0.909,1,0.771,1,0.529997057320303,0.0
24732.23,36731.5,43,21,1,8,0.315,0,1.0,1,1.4851673302407427,0.125
60411.99,29142.71,55,8,0,15,0.634,0,0.901,1,0.4823994375950867,0.0
40297.96,32502.78,56,14,0,12,0.472,1,0.934,1,0.8065614239529743,0.0
51220.48,8515.06,43,19,2,23,0.365,1,0.933,1,0.16624326831767292,0.08695652173913043
43807.28,37123.51,39,9,0,12,0.271,0,0.872,1,0.8474278704361468,0.0
62300.48,10341.05,62,0,1,3,0.215,2,0.866,1,0.16598668260661875,0.3333333333333333
29471.08,21307.81,30,25,1,18,0.591,1,0.976,0,0.7230074364427771,0.05555555555555555
33589.61,21289.88,24,22,1,23,0.673,1,0.98,1,0.6338233757402959,0.043478260869565216
169448.4,24672.8,28,3,1,22,0.448,1,0.878,1,0.14560656813519632,0.045454545454545456
36417.42,22407.45,60,11,0,3,0.474,0,0.978,0,0.6152948231917583,0.0
39679.46,10400.93,44,8,0,24,0.596,2,0.979,1,0.26212377890223304,0.0
148561.4,7485.43,22,30,0,9,0.247,2,0.914,1,0.050386102985028415,0.0
240246.98,31734.31,29,29,0,21,0.792,1,0.849,1,0.13209035967902696,0.0
38366.41,20311.03,22,21,1,16,0.766,2,0.937,0,0.529396156690188,0.0625
55073.86,37995.46,60,13,1,24,0.665,0,0.966,1,0.6899000723755335,0.041666666666666664
75799.16,17484.16,43,1,4,9,0.13,1,0.936,1,0.23066429759907628,0.4444444444444444
141500.21,7221.16,24,7,2,15,0.388,2,0.899,0,0.05103285712438165,0.13333333333333333
41691.68,33728.93,31,2,0,17,0.374,1,0.973,1,0.8090086559236759,0.0
58207.39,14148.81,51,24,1,4,0.078,3,1.0,1,0.24307583624690954,0.25
92221.12,22481.08,50,2,0,19,0.106,0,0.886,1,0.2437736605237499,0.0
79046.16,11816.81,61,21,1,4,0.209,2,0.919,1,0.14949252436804014,0.25
54878.25,52413.69,22,29,3,20,0.349,4,1.0,1,0.9550904046685162,0.15
61201.21,10181.83,24,9,2,4,0.312,3,0.96,1,0.16636648196988263,0.5
35011.77,14455.03,22,21,0,5,0.682,2,0.851,1,0.41286201754438584,0.0
58393.76,19302.09,40,27,2,12,0.046,2,0.907,1,0.33055055882683354,0.16666666666666666
57657.07,8850.32,56,13,2,5,0.67,1,0.887,1,0.15349930199366704,0.4
72158.4,22313.89,53,13,0,2,0.156,3,0.967,1,0.3092348222798732,0.0
50627.25,51321.7,31,6,1,2,0.235,1,0.962,0,1.0137169212232542,0.5
80365.07,13086.37,53,13,0,7,0.578,0,0.895,1,0.16283654080062396,0.0
102525.28,23271.15,53,27,2,12,0.241,1,1.0,0,0.2269796288291044,0.16666666666666666
69709.07,3013.91,30,20,1,2,0.252,4,0.946,0,0.04323555026627094,0.5
76147.91,17550.24,57,6,3,4,0.267,2,0.908,1,0.23047566243118164,0.75
66573.54,14685.99,41,16,2,15,0.312,3,0.855,1,0.22059800335088087,0.13333333333333333
65002.47,10573.47,23,21,2,8,0.456,2,0.877,0,0.16266258805242323,0.25
46978.32,36354.38,40,2,0,19,0.606,3,0.853,1,0.7738544077353128,0.0
74949.14,14560.51,58,23,1,21,0.215,0,0.927,1,0.1942718755678851,0.047619047619047616
62215.76,16038.81,55,6,2,1,0.64,0,0.878,1,0.25779336296783967,2.0
166719.54,14086.21,34,9,0,23,0.492,3,0.995,1,0.08449045624765998,0.0
131946.56,5178.12,58,12,1,17,0.119,2,0.899,1,0.03924406972034739,0.058823529411764705
77325.07,8624.27,40,15,1,20,0.331,2,0.999,1,0.11153265040691202,0.05
46109.16,33618.7,43,28,1,12,0.662,0,0.974,0,0.7291110920259661,0.08333333333333333
39401.43,4567.22,25,6,0,1,0.428,1,0.985,1,0.11591508226985671,0.0
111096.77,10938.26,69,7,2,22,0.518,2,1.0,1,0.09845704785116614,0.09090909090909091
73158.21,13881.45,62,11,1,14,0.434,2,1.0,1,0.1897456211681505,0.07142857142857142
80676.86,55909.03,30,26,3,1,0.736,2,0.881,0,0.6929995788135532,3.0
29645.89,29664.89,48,29,0,4,0.289,1,0.999,1,1.0006408982830335,0.0
98665.43,12531.07,59,14,3,5,0.419,2,0.968,1,0.1270056796995665,0.6
79748.38,42026.72,45,21,2,10,0.595,1,1.0,1,0.526991520078527,0.2
39436.57,11123.24,31,28,2,11,0.744,2,0.948,1,0.28205394130371886,0.18181818181818182
52572.92,34684.28,68,26,1,11,0.273,1,1.0,1,0.6597366096461829,0.09090909090909091
73190.09,7441.72,34,21,1,21,0.221,1,0.85,1,0.10167660676465899,0.047619047619047616
66552.91,36161.3,37,16,0,23,0.455,1,0.87,1,0.5433466395383764,0.0
56991.96,13823.71,39,30,0,17,0.162,3,0.9,1,0.24255544115345393,0.0
62042.37,9224.32,64,7,0,16,0.083,0,0.935,1,0.14867775038252085,0.0
58032.17,15630.57,45,11,0,21,0.302,0,0.943,1,0.2693431936114055,0.0
69619.2,21555.81,56,22,1,7,0.597,0,0.888,0,0.309624500137893,0.14285714285714285
126034.88,13049.96,65,0,0,14,0.13,1,0.871,1,0.10354244793187409,0.0
20478.82,25801.73,66,15,0,16,0.325,0,0.894,1,1.2599226908581647,0.0
58428.55,12322.49,62,26,1,7,0.268,1,0.82,1,0.21089843920480655,0.14285714285714285
70373.58,26940.04,65,5,3,23,0.932,3,0.92,0,0.38281468698906607,0.13043478260869565
74260.9,23994.3,67,24,2,6,0.108,1,0.936,1,0.32310812284795903,0.3333333333333333
54983.09,17301.13,69,12,2,2,0.807,1,0.971,1,0.314662744491079,1.0
29484.43,13510.58,52,26,1,8,0.349,3,0.952,1,0.45822761369305764,0.125
75338.04,19863.29,27,19,0,20,0.266,1,1.0,1,0.2636555185136221,0.0
141414.44,25739.76,26,4,1,9,0.437,2,0.997,1,0.18201648997089687,0.1111111111111111
32594.7,68754.43,60,22,0,6,0.815,0,0.992,1,2.109374530215035,0.0
95881.2,33148.42,36,1,0,21,0.365,2,0.966,1,0.3457238749619321,0.0
56067.2,33945.8,60,7,2,4,0.6,1,0.978,1,0.6054484618457852,0.5
63230.79,134008.69,66,27,2,4,0.114,1,0.925,1,2.119358148142701,0.5
40470.89,25172.31,52,27,1,22,0.093,2,0.947,1,0.6219855802528682,0.045454545454545456
